Date,Ticker,Headline,SentimentScore,URL
2026-07-17,RELIANCE,RELIANCE: Indian shares seen opening flat ahead of heavyweight earnings,0.04032222068349266,https://finance.yahoo.com/news/indian-shares-seen-opening-flat-021956007.html
2026-07-17,TECHM,TECHM: India's Tech Mahindra gains after revenue beat ,0.430056735656859,https://finance.yahoo.com/news/indias-tech-mahindra-gains-revenue-035641005.html
2026-07-17,HDFCBANK,HDFCBANK: Indian shares seen opening flat ahead of heavyweight earnings,-0.0026659861446264987,https://finance.yahoo.com/news/indian-shares-seen-opening-flat-021956007.html
2026-07-17,ICICIBANK,ICICIBANK: Indian shares seen opening flat ahead of heavyweight earnings,-0.0007159235959387027,https://finance.yahoo.com/news/indian-shares-seen-opening-flat-021956007.html
2026-07-17,WIPRO,WIPRO: Wipro (WIT) Q1 2027 Earnings Call Transcript,-0.008072683090727477,https://finance.yahoo.com/markets/stocks/articles/wipro-wit-q1-2027-earnings-003236253.html
2026-07-17,MACRO,MACRO: Indian shares seen opening flat ahead of heavyweight earnings,-0.13706803896984393,https://finance.yahoo.com/news/indian-shares-seen-opening-flat-021956007.html
2026-07-16,TECHM,TECHM: Tech Mahindra (NSEI:TECHM) Stock Fair Value Edges Lower On Softer Growth And Multiple Assumptions,0.11351649305634688,https://finance.yahoo.com/markets/stocks/articles/tech-mahindra-nsei-techm-stock-201313149.html
2026-07-16,TECHM,TECHM: India's Tech Mahindra beats quarterly revenue estimate,0.5482133034142016,https://finance.yahoo.com/news/indias-tech-mahindra-beats-quarterly-104228620.html
2026-07-16,SBIN,SBIN: XRP Price Prediction: Can XRP Hit Double Digits?,-0.013610829313329726,https://finance.yahoo.com/markets/crypto/articles/xrp-price-prediction-xrp-hit-190658854.html
2026-07-16,MARUTI,MARUTI: Indian court orders Maruti to replace car in first E20 fuel damage ruling,-0.04238639875809518,https://finance.yahoo.com/news/indian-court-orders-maruti-replace-121955757.html
2026-07-16,SBIN,SBIN: Ondo Finance partners with SBI Group to bring Japanese stocks onchain,-0.014757708704620152,https://finance.yahoo.com/markets/crypto/articles/ondo-finance-partners-sbi-group-203605937.html
2026-07-16,TECHM,TECHM: India's Tech Mahindra tops quarterly revenue views on manufacturing segment growth,0.29624591172444414,https://finance.yahoo.com/markets/stocks/articles/indias-tech-mahindra-beats-quarterly-104228514.html
