Date,Nifty50,Energy,IT,Banking,FMCG,Auto,Pharma,Metals,Realty
2016-06-20,7500.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2016-06-21,7436.0432432097405,997.9556918472952,996.8156985711578,1002.6621866608584,988.7110410009008,1001.4314149423102,985.0290491812792,982.8843378706872,999.6990783025744
2016-06-22,7342.793786144091,988.1067650759478,973.3943344359916,974.5961304909004,971.80305092489,984.012347784799,972.7439314585006,968.802197365198,970.5558108791674
2016-06-23,7251.608249172131,972.421233992208,960.2205015070466,961.9867150668276,952.6959394221676,966.3630761083044,966.3502870013288,958.1347603363724,950.292063862113
2016-06-24,7189.852740811905,949.1944119548576,947.1830668122726,961.1026786145538,949.394537050726,958.9442455636218,953.6167316412528,943.2154867622428,939.9471075013994
2016-06-27,7111.955338353064,933.4631806443116,938.9370249089216,951.1179730021096,933.2889236296016,944.8011438795016,939.673060742016,943.1088347767128,916.1140028387106
2016-06-28,7125.744953880891,927.9955918527592,948.3281635210604,976.3557092593194,933.0441668545294,941.9056496736488,946.4933892674704,941.1068145683496,939.0035008018614
2016-06-29,7123.379238234766,926.006000434533,954.3057094803088,970.2796883833304,938.2934712297852,939.5385500371398,950.0094951232296,946.74085744684,940.2052149838302
2016-06-30,7133.985329023886,927.859833763485,948.05719587578,965.7586069941588,947.0804491293572,935.773020986172,956.8554228356736,954.7427444786543,946.906704357851
2016-07-01,7164.532592734587,928.9738495314064,943.8866567846848,966.6193354685888,962.1511024044202,949.037489835314,961.286506489532,965.320767328614,945.8601771938742
2016-07-04,7116.050361785849,936.022343073726,951.4539771916805,965.1150820550394,944.994249159796,951.8364528768932,953.065499236564,967.7009000231864,939.8780603502328
2016-07-05,7190.688791965453,938.780101358911,980.4292680020422,982.8461111588044,946.642355027838,950.8934686521864,952.0342421200828,982.7271308896396,957.0718799015208
2016-07-06,7033.809481530414,931.3047982037184,966.7385921180512,982.8416100349588,919.6329530387596,932.3385399593373,933.2371341735874,953.9921822000192,937.67618574605
